"ID_TAREA","ID_CLIENTE","ESTADO","TIPO_TAREA","FECHA_ENTREGA","FECHA_PREVISTA","LOGISTICA","ID_OPERARIO","DESCRIPCION","FECHA_CREACION"
3,,"Pendiente","Almacen",,"04/02/26","Interna",1,"recoger almacen","03/02/26"
4,,"Pendiente","Almacen",,"04/02/26","Interna",1,"recoger almacen 2","03/02/26"
5,,"Pendiente","Almacen",,"04/02/26","Interna",1,"recoger almacen 2","03/02/26"
1,7559E+12,,"Pendiente","almacen","diaria","23/08/25","Interna",1,"recoger almacen","22/08/25"
7,,"Pendiente","Almacen",,"13/02/26","Interna",2,"Ordenar almacen","06/02/26"
8,,"Pendiente","Tarea Especial",,"10/02/26","Interna",1,"tarea especial","09/02/26"
9,,"Completada","Tarea Especial",,"10/02/26","Interna",2,"texto larguisimo texto larguisimo texto larguisimo texto larguisimo texto larguisimo texto larguisimo texto larguisimo texto larguisimo texto larguisimo texto larguisimo ","09/02/26"
6,,"Completada","Procesado",,"07/02/26","Interna",2,"Recoger fila 1-2 de pallet de la camara 1","06/02/26"
1,7559E+12,,"Pendiente","engorde","diaria","23/08/25","Interna",2,"recoger pallet","22/08/25"
1,7559E+12,,"Pendiente","Almacen","semanal","29/08/25","Interna",1,"Recoger un big bag","22/08/25"
1,7559E+12,,"Pendiente","Tarea Especial","diaria","23/08/25","Interna",1,"acpnaoceic","22/08/25"
10,,"Pendiente","Almacen",,"16/02/26","Interna",8,"testeo","15/02/26"
11,,"Pendiente","Almacen",,"16/02/26","Interna",7,"prueba para ver si me sale la tarea con el user ""test"" logeado","15/02/26"
